Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,fertilizer_regm,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_taxid,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,plot,ReleaseDate,Sample Name,SRA Study
SRR10485133,AMPLICON,1658,10807756,PRJNA590305,SAMN13324219,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",5421067,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174804,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc22,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H306C,2020-01-31T00:00:00Z,G00003040_H306C,SRP230376
SRR10485134,AMPLICON,1690,4982804,PRJNA590305,SAMN13324218,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",2495423,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174803,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc21,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H306A,2020-01-31T00:00:00Z,G00003039_H306A,SRP230376
SRR10485135,AMPLICON,1597,12733175,PRJNA590305,SAMN13324200,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6327729,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174802,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc03,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R101E,2020-01-31T00:00:00Z,G00003021_R101E,SRP230376
SRR10485136,AMPLICON,1621,10446981,PRJNA590305,SAMN13324217,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",5154062,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174801,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc20,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H201G,2020-01-31T00:00:00Z,G00003038_H201G,SRP230376
SRR10485137,AMPLICON,1659,10699303,PRJNA590305,SAMN13324216,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",5193603,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174800,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc19,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H201E,2020-01-31T00:00:00Z,G00003037_H201E,SRP230376
SRR10485138,AMPLICON,1606,11533448,PRJNA590305,SAMN13324215,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",5649748,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174799,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc18,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H201C,2020-01-31T00:00:00Z,G00003036_H201C,SRP230376
SRR10485139,AMPLICON,1589,12921905,PRJNA590305,SAMN13324214,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6303011,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174798,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc17,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H201A,2020-01-31T00:00:00Z,G00003035_H201A,SRP230376
SRR10485140,AMPLICON,1687,6667127,PRJNA590305,SAMN13324213,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",3361079,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174797,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc16,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R403G,2020-01-31T00:00:00Z,G00003034_R403G,SRP230376
SRR10485141,AMPLICON,1631,14882080,PRJNA590305,SAMN13324212,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7350258,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174796,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc15,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R403E,2020-01-31T00:00:00Z,G00003033_R403E,SRP230376
SRR10485142,AMPLICON,1608,15235438,PRJNA590305,SAMN13324211,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7611353,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174795,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc14,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R403C,2020-01-31T00:00:00Z,G00003032_R403C,SRP230376
SRR10485143,AMPLICON,1591,13954557,PRJNA590305,SAMN13324210,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6742421,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174794,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc13,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R403B,2020-01-31T00:00:00Z,G00003031_R403B,SRP230376
SRR10485144,AMPLICON,1601,13648597,PRJNA590305,SAMN13324209,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6553128,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174793,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc12,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R302G,2020-01-31T00:00:00Z,G00003030_R302G,SRP230376
SRR10485099,AMPLICON,1623,15708623,PRJNA590305,SAMN13324205,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7741260,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,TenX","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174838,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc08,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R206F,2020-01-31T00:00:00Z,G00003026_R206F,SRP230376
